Position,Red,Green,Blue,Lux,Temperature
1,137.31,58.85,58.85,0,3023
1,127.50,54.64,54.64,0,3023
1,137.31,58.85,58.85,0,3023
1,148.75,63.75,63.75,0,3023
1,153.00,51.00,51.00,0,2661
1,141.67,56.67,56.67,0,2915
2,137.31,58.85,58.85,0,3023
2,145.71,54.64,54.64,0,2819
2,137.31,58.85,58.85,0,3023
2,137.31,58.85,58.85,0,3023
2,139.09,46.36,46.36,0,2661
2,170.00,56.67,56.67,0,2661
3,145.71,54.64,54.64,0,2819
3,143.44,47.81,47.81,0,2661
3,153.00,51.00,51.00,0,2661
3,153.00,51.00,51.00,0,2661
3,156.92,58.85,58.85,0,2819
3,162.27,46.36,46.36,0,2479
4,143.44,47.81,47.81,0,2661
4,143.44,47.81,47.81,0,2661
4,141.67,56.67,56.67,0,2915
4,141.67,56.67,56.67,0,2915
4,159.38,47.81,47.81,0,2534
4,156.92,58.85,58.85,0,2819
5,159.38,47.81,47.81,0,2534
5,153.00,51.00,51.00,0,2661
5,145.71,60.71,60.71,0,2978
5,140.25,51.00,51.00,0,2776
5,159.38,47.81,47.81,0,2534
5,163.93,54.64,54.64,0,2661
6,153.00,51.00,51.00,0,2661
6,159.38,47.81,47.81,0,2534
6,170.00,42.50,42.50,-1,2343
6,180.00,45.00,45.00,-1,2343
6,170.00,34.00,51.00,-2,2534
6,176.54,39.23,39.23,-1,2237
7,185.45,46.36,46.36,0,2343
7,156.92,39.23,39.23,0,2343
7,185.45,46.36,46.36,0,2343
7,196.15,39.23,39.23,-1,2153
7,191.25,42.50,42.50,-1,2237
7,178.50,51.00,51.00,0,2479
8,162.27,46.36,46.36,0,2479
8,191.25,31.88,31.88,-1,2026
8,198.33,28.33,28.33,-1,1935
8,204.00,25.50,25.50,-1,1867
8,178.50,25.50,51.00,-2,2479
8,191.25,31.88,31.88,-1,2661
9,127.50,57.95,57.95,0,3122
9,133.57,60.71,60.71,0,3122
9,140.25,63.75,63.75,0,3122
9,150.00,60.00,60.00,0,2915
9,145.71,54.64,54.64,0,2819
9,148.75,63.75,63.75,0,3023
10,133.04,55.43,66.52,0,3296
10,133.04,66.52,55.43,1,2978
10,140.25,63.75,63.75,0,3122
10,150.00,60.00,60.00,0,2915
10,145.71,54.64,54.64,0,2819
10,148.75,63.75,63.75,0,3023
11,138.13,63.75,63.75,0,3149
11,127.50,63.75,53.13,1,2978
11,139.09,57.95,57.95,0,2978
11,147.63,53.68,53.68,0,2776
11,153.00,51.00,51.00,0,2661
11,170.00,63.75,63.75,0,2479
12,137.31,58.85,58.85,0,3023
12,142.80,61.20,51.00,1,2751
12,138.13,53.13,53.13,0,2856
12,150.68,57.95,46.36,0,2563
12,150.00,45.00,60.00,-1,2915
12,145.71,54.64,54.64,0,2819
13,145.71,54.64,54.64,0,2819
13,147.12,58.85,49.04,0,2661
13,144.50,59.50,51.00,1,2735
13,145.71,54.64,54.64,0,2819
13,150.68,46.36,57.95,-1,2856
13,141.67,56.67,56.67,0,2915
14,147.12,58.85,49.04,0,2661
14,149.48,52.76,52.76,0,2735
14,133.88,57.38,57.38,0,3023
14,157.50,52.50,52.50,0,2661
14,166.73,49.04,49.04,-1,2511
14,145.71,60.71,48.57,1,2661
15,180.00,45.00,45.00,-1,2343
15,151.11,56.67,47.22,0,2581
15,183.60,40.80,40.80,-2,2237
15,204.00,30.60,40.80,-4,1992
15,177.39,44.35,44.35,-1,2343
15,159.38,47.81,47.81,0,2534
16,204.00,34.00,34.00,-2,2026
16,187.00,34.00,34.00,-1,2083
16,195.00,30.00,30.00,-2,1977
16,206.43,24.29,36.43,-4,2063
16,191.25,31.88,47.81,-2,2343
16,178.50,51.00,51.00,0,2479
17,138.43,58.29,58.29,0,2995
17,138.43,58.29,51.00,1,2724
17,151.41,55.78,55.78,0,2794
17,149.48,52.76,52.76,0,2735
17,150.68,46.36,57.95,-1,2856
17,150.00,60.00,60.00,0,2915
18,134.21,60.39,60.39,1,3105
18,137.31,58.85,58.85,0,3023
18,144.73,55.14,55.14,0,2842
18,153.00,51.00,51.00,0,2661
18,155.22,55.43,55.43,0,2563
18,155.83,56.67,56.67,0,2534
19,130.61,62.20,62.20,1,3205
19,133.30,57.95,57.95,0,3047
19,140.25,57.38,57.38,0,2949
19,156.29,49.35,49.35,-1,2594
19,155.22,55.43,55.43,0,2751
19,165.00,60.00,60.00,0,2776
20,127.50,66.52,66.52,2,3378
20,133.04,60.98,55.43,2,2978
20,136.83,55.98,55.98,0,2949
20,146.82,54.09,54.09,0,2794
20,155.22,55.43,55.43,0,2751
20,155.83,56.67,56.67,0,2776
21,121.02,64.83,64.83,3,3432
21,135.00,60.00,60.00,1,3084
21,138.13,58.44,53.13,1,2856
21,151.62,55.14,48.24,0,2603
21,156.92,49.04,49.04,0,2581
21,150.68,57.95,57.95,0,2856
22,121.43,64.76,60.71,4,3296
22,140.69,57.16,57.16,0,2938
22,140.43,59.13,51.74,2,2794
22,156.92,49.04,49.04,-1,2581
22,153.00,51.00,51.00,0,2716
22,131.61,65.81,57.58,2,3057
23,130.10,62.45,52.04,3,2915
23,144.13,59.13,51.74,2,2758
23,145.32,54.84,52.10,0,2756
23,172.50,41.25,45.00,-6,2384
23,146.49,54.26,54.26,0,2802
23,127.50,68.65,58.85,2,3149
24,207.19,31.88,31.88,-2,1977
24,153.00,56.10,45.90,1,2534
24,215.33,22.67,28.33,-10,1792
24,195.00,30.00,35.00,-8,2074
24,159.38,42.50,42.50,-1,2407
24,148.75,63.75,63.75,0,3023
25,152.02,49.04,53.94,-2,2742
25,148.36,51.00,51.00,-1,2700
25,152.02,49.04,49.04,-1,2620
25,162.27,46.36,46.36,-2,2479
25,170.00,42.50,51.00,-2,2534
25,166.30,44.35,55.43,-2,2661
26,140.69,57.16,57.16,0,2938
26,150.68,54.09,50.23,0,2661
26,156.29,49.35,49.35,-2,2594
26,165.00,45.00,45.00,-3,2430
26,165.00,45.00,52.50,-2,2603
26,163.20,51.00,51.00,0,2581
27,135.23,57.95,57.95,1,3023
27,148.75,54.64,51.61,0,2712
27,157.70,50.33,50.33,-2,2606
27,167.07,43.97,43.97,-3,2420
27,165.41,48.24,48.24,-1,2502
27,160.56,47.22,56.67,-2,2735
28,132.60,57.80,61.20,0,3149
28,146.05,53.32,53.32,-1,2760
28,158.72,46.84,46.84,-4,2515
28,168.69,43.15,43.15,-4,2365
28,165.75,44.63,51.00,-2,2610
28,158.28,52.76,52.76,0,2661
29,123.20,63.03,63.03,4,3340
