Position,Red,Green,Blue,Lux,Temperature
1,115.91,69.55,69.55,0,3677
1,115.91,69.55,69.55,0,3677
1,92.73,69.55,69.55,1,4248
1,113.33,85.00,56.67,1,3296
1,95.63,63.75,63.75,0,3931
1,109.29,72.86,72.86,0,3931
2,127.50,76.50,76.50,0,3677
2,106.25,63.75,63.75,0,3677
2,115.91,69.55,69.55,0,3677
2,127.50,76.50,76.50,0,3677
2,127.50,63.75,63.75,0,3296
2,109.29,72.86,72.86,0,3931
3,115.91,69.55,69.55,0,3677
3,127.50,63.75,63.75,0,3296
3,106.25,63.75,63.75,0,3677
3,106.25,63.75,63.75,0,3677
3,141.67,56.67,56.67,0,3296
3,127.50,63.75,63.75,0,3296
4,117.69,58.85,58.85,0,3296
4,117.69,58.85,58.85,0,3296
4,127.50,72.86,54.64,1,3023
4,127.50,72.86,54.64,1,3023
4,139.09,69.55,69.55,0,3296
4,127.50,51.00,51.00,0,2915
5,137.31,58.85,58.85,0,3023
5,127.50,63.75,63.75,0,3296
5,120.00,75.00,60.00,2,3296
5,119.00,68.00,68.00,1,3568
5,127.50,63.75,63.75,0,3296
5,127.50,76.50,76.50,0,3677
6,127.50,63.75,63.75,0,3296
6,117.69,58.85,58.85,0,3296
6,127.50,54.64,54.64,0,3023
6,148.75,63.75,42.50,0,2479
6,153.00,51.00,51.00,0,2661
6,141.67,56.67,56.67,0,2915
7,159.38,31.88,63.75,-1,2915
7,127.50,51.00,51.00,0,2915
7,159.38,63.75,31.88,0,2153
7,191.25,31.88,31.88,-1,2026
7,141.67,56.67,56.67,0,2915
7,127.50,63.75,63.75,0,3296
8,141.67,56.67,56.67,0,2915
8,170.00,42.50,42.50,0,2343
8,170.00,42.50,42.50,0,2343
8,182.14,36.43,36.43,0,2153
8,182.14,36.43,36.43,0,2153
8,170.00,42.50,42.50,0,2343
9,99.17,70.83,70.83,1,4112
9,105.00,75.00,60.00,2,3568
9,95.63,79.69,63.75,3,3931
9,106.25,85.00,63.75,2,3677
9,102.00,76.50,76.50,1,4248
9,113.33,85.00,56.67,1,3296
10,107.37,67.11,67.11,1,3772
10,99.17,70.83,70.83,1,4112
10,111.56,79.69,63.75,2,3568
10,117.69,78.46,58.85,2,3296
10,127.50,76.50,76.50,0,3677
10,113.33,56.67,56.67,0,3296
11,107.37,67.11,67.11,1,3772
11,107.37,67.11,67.11,1,3772
11,111.56,79.69,63.75,2,3568
11,109.29,72.86,72.86,1,3931
11,115.91,69.55,69.55,0,3677
11,113.33,56.67,56.67,0,3296
